tara, numar_bidderi, tupluri_de_cele_mai_frecvente_cuvinte_si_frecventa_lor, numar_total_cuvinte, numar_cuvinte_unice, lexical_diversity, average_rating(poate fi 0 doar daca niciun user din tara respectiva nu are rating)
Ukraine,4004,[(please,1168),(hello,1159),(check,1017),(project,1004),(pm,915),(ready,737),(work,655),(hi,629),(message,516),(details,462),(start,441),(experience,437),(see,417),(pmb,390),(m,358),(thanks,349),(done,341),(help,322),(interested,300),(thank,290),(discuss,257),(years,250),(let,245),(read,242),(portfolio,240),(waiting,218),(development,212),(description,208),(design,208),(web,196),(good,194),(responded,194),(regards,185),(best,183),(looking,177),(information,176),(board,175),(working,170),(deeply,168),(quality,168),(team,168),(private,154),(professional,150),(d,136),(job,134),(company,125),(provide,123),(pro,122),(price,118),(would,118)],35553,3134,11.3442884493,9.82278692308
Canada,3732,[(work,1773),(details,1753),(please,1737),(quality,1424),(check,1412),(thanks,1306),(project,1152),(ready,1027),(pmb,1008),(team,859),(us,856),(years,856),(time,773),(site,744),(also,728),(experience,725),(give,716),(within,686),(build,672),(better,649),(designers,645),(developers,644),(checked,643),(field,642),(period,641),(start,584),(web,471),(hi,439),(company,417),(projects,405),(applications,395),(see,393),(pm,390),(system,385),(professional,335),(design,329),(working,317),(best,305),(hello,297),(m,278),(canada,272),(would,263),(sites,254),(services,238),(lets,236),(extensive,232),(development,230),(content,226),(based,221),(private,218)],59018,3607,16.3620737455,9.72768584906
Egypt,3536,[(check,1326),(please,1079),(work,691),(pm,670),(details,623),(ready,583),(project,520),(web,508),(pmb,489),(hello,479),(thanks,470),(design,462),(m,448),(see,433),(start,398),(hi,371),(years,361),(experience,358),(development,350),(programming,304),(message,289),(experienced,275),(kindly,260),(sir,254),(expert,248),(private,247),(professional,247),(dear,232),(languages,215),(sql,214),(requirement,209),(team,207),(php,199),(job,196),(sure,195),(developer,191),(best,186),(designer,186),(quality,185),(portfolio,183),(task,180),(database,174),(working,173),(satisfaction,171),(interested,170),(needs,170),(time,168),(understood,159),(like,156),(entire,150)],39190,3084,12.7075226978,9.66711129944
Australia,2756,[(please,1151),(thanks,973),(check,834),(details,726),(pmb,700),(portfolio,681),(work,566),(design,529),(see,526),(quality,477),(hi,462),(project,447),(pm,394),(professional,380),(hello,354),(web,336),(many,318),(sir,314),(years,312),(help,281),(logo,278),(experience,274),(waiting,274),(discuss,259),(would,255),(time,245),(creative,235),(task,229),(contact,228),(projects,227),(right,225),(deliver,221),(new,220),(provide,219),(developer,218),(designs,217),(m,211),(website,211),(done,207),(wordpress,203),(online,197),(australia,187),(helloi,182),(increase,178),(message,177),(also,174),(clients,174),(us,172),(rankingsplease,170),(business,167)],44763,3656,12.2437089716,9.71679691358
Indonesia,2584,[(please,824),(hi,821),(check,774),(project,751),(pm,599),(thanks,585),(m,570),(ready,456),(work,380),(interested,336),(experience,278),(job,272),(see,248),(portfolio,244),(discuss,242),(let,241),(pmb,223),(sir,203),(thank,203),(details,196),(start,185),(years,185),(web,183),(best,180),(hello,170),(help,166),(detail,160),(lets,153),(expert,143),(design,133),(experienced,132),(need,127),(together,127),(php,123),(message,122),(advance,120),(cheers,117),(provide,108),(d,106),(time,96),(hii,95),(dear,88),(done,88),(working,87),(also,86),(give,85),(would,85),(inbox,84),(know,84),(make,83)],26018,2810,9.2590747331,9.753988125
Serbia and Montenegro,2529,[(check,1138),(please,1023),(pm,742),(details,684),(hello,682),(hi,539),(portfolio,438),(design,426),(work,416),(thank,363),(job,354),(experience,341),(interested,323),(m,311),(see,302),(years,296),(project,294),(professional,267),(message,256),(thanks,247),(graphic,244),(provide,243),(private,238),(quality,193),(inbox,188),(web,184),(ready,183),(solutions,176),(creative,170),(d,162),(experts,144),(regards,140),(high,138),(send,135),(best,132),(logo,128),(designer,123),(offer,123),(pmb,123),(start,120),(sent,106),(working,106),(original,95),(team,93),(great,92),(like,91),(kindly,90),(worked,90),(joomla,85),(video,82)],25382,2399,10.5802417674,9.81818793103
Bulgaria,2371,[(please,756),(hello,678),(pm,600),(details,576),(work,560),(check,556),(project,490),(hi,421),(start,343),(m,338),(ready,296),(interested,275),(see,256),(thanks,247),(experience,216),(portfolio,208),(message,198),(private,189),(pmb,180),(regards,176),(let,171),(pleasure,155),(inbox,148),(send,144),(information,143),(design,142),(job,142),(offer,142),(quality,139),(company,134),(read,133),(years,129),(d,125),(examples,125),(thank,125),(introduce,124),(meet,124),(happy,118),(working,105),(together,99),(full,97),(provide,95),(professional,90),(messages,89),(best,87),(attention,86),(make,86),(done,85),(butchvarov,83),(hristo,81)],21081,2308,9.13388214905,9.78257666667
Nepal,2367,[(please,706),(check,705),(work,590),(pm,518),(interested,462),(project,435),(details,423),(provide,415),(experienced,381),(*********************************,379),(web,378),(pmb,359),(social,353),(expertise,339),(team,324),(css,310),(thank,307),(professional,294),(requirement,285),(*******,281),(service,276),(works,268),(view,261),(portfolio,249),(codes,241),(quality,236),(development,230),(expert,226),(networking,220),(experts,207),(highly,203),(designers,197),(exceptional,196),(programmers,196),(wordpress,194),(hi,190),(top,190),(similar,188),(sir,187),(c,181),(message,180),(past,180),(ready,180),(browser,176),(wc,173),(plz,172),(clean,170),(php,166),(business,164),(satisfied,163)],32099,1692,18.9710401891,9.7570175
Poland,1614,[(pm,513),(please,443),(portfolio,382),(hi,350),(m,350),(work,316),(project,285),(check,277),(design,277),(ready,242),(experience,237),(hello,229),(regards,207),(interested,198),(details,192),(see,170),(years,167),(web,154),(start,151),(developer,129),(many,126),(happy,119),(best,112),(sent,109),(message,108),(help,102),(private,101),(create,98),(like,93),(expert,92),(offer,92),(send,92),(pmb,89),(website,88),(projects,87),(would,86),(designer,85),(graphic,85),(job,85),(d,84),(experienced,75),(time,74),(professional,73),(thanks,73),(look,68),(read,68),(quality,64),(sir,64),(development,59),(take,58)],17050,2078,8.20500481232,9.71149090909
Russian Federation,1448,[(hello,385),(please,354),(experience,339),(project,323),(hi,252),(check,234),(details,233),(years,227),(pm,223),(start,209),(pmb,206),(interested,189),(ready,181),(web,176),(see,171),(contact,167),(work,167),(best,159),(professional,157),(expert,151),(fast,145),(dear,140),(developer,140),(finish,138),(m,138),(immediately,137),(discuss,136),(available,135),(regardszeke,134),(bid,132),(possible,132),(soon,132),(service,120),(customer,117),(customers,116),(exciting,116),(help,113),(message,105),(thanks,98),(private,77),(job,66),(glad,61),(like,61),(pls,61),(good,59),(design,58),(quality,58),(let,55),(projects,55),(ll,54)],13411,1775,7.55549295775,9.79510342466
Argentina,1435,[(m,853),(please,649),(project,624),(design,576),(experience,545),(pm,505),(check,488),(see,481),(work,469),(years,466),(graphic,448),(portfolio,413),(designer,380),(thanks,366),(hi,363),(ready,360),(start,307),(acute,270),(samples,256),(professional,249),(freelancer,236),(illustrator,232),(hello,231),(look,231),(profile,229),(take,224),(available,222),(character,222),(get,221),(today,220),(concept,219),(com,213),(currently,213),(started,208),(jobs,207),(logos,207),(digital,206),(etc,205),(field,205),(lets,205),(comics,204),(team,204),(painting,203),(artcovers,202),(paintings,202),(php,187),(pmb,148),(experienced,128),(job,128),(quality,121)],24318,2310,10.5272727273,9.83075157895
Italy,1352,[(please,595),(m,562),(work,483),(years,410),(check,393),(pm,366),(hi,309),(experience,299),(thanks,261),(professional,259),(quality,245),(ready,236),(contact,227),(freelancer,220),(project,218),(time,201),(expert,198),(start,196),(deliver,179),(full,178),(question,175),(exp,170),(posted,170),(timeframe,170),(details,158),(php,155),(hello+,152),(web,149),(hello,139),(pmb,139),(best,127),(see,126),(regards,123),(design,116),(artist,114),(need,110),(projects,109),(read,109),(graphic,107),(designer,106),(offer,106),(message,101),(d,99),(portfolio,99),(job,93),(private,90),(kind,84),(sir,83),(well,83),(interested,79)],19945,2389,8.34868145668,9.83671764706
Spain,1205,[(m,434),(please,330),(work,286),(check,284),(experience,268),(see,259),(hi,252),(project,232),(pm,223),(portfolio,203),(hello,183),(interested,173),(thanks,160),(regards,159),(design,149),(d,148),(web,145),(designer,143),(graphic,143),(would,136),(best,129),(message,125),(years,125),(professional,124),(private,122),(like,107),(working,106),(information,103),(details,100),(de,99),(contact,94),(make,94),(thank,94),(ve,87),(look,84),(acute,77),(love,74),(read,74),(time,74),(us,73),(y,71),(develop,69),(projects,69),(send,69),(en,68),(pmb,67),(satisfied,67),(offer,64),(digital,63),(hope,63)],20995,3087,6.80110139294,9.72815242718
Brazil,1205,[(m,726),(please,724),(project,432),(start,410),(ready,405),(pmb,402),(check,383),(see,298),(hi,268),(hello,240),(years,232),(interested,224),(quality,213),(details,202),(always,200),(experience,191),(inbox,170),(work,170),(thanks,169),(pm,152),(php,143),(sir,142),(server,138),(web,138),(developer,128),(experienced,125),(worked,123),(mysql,121),(working,120),(right,115),(sql,113),(java,107),(projet,106),(jquery,104),(javascript,102),(ajax,101),(css,101),(complete,100),(search,100),(+,99),(asp,98),(expertises,98),(customer,97),(smarty,97),(solr/lucene,97),(sphinx,97),(****,96),(away,96),(order,92),(satisfaction,92)],19955,1926,10.3608515057,9.662725
Portugal,1092,[(please,555),(work,487),(m,412),(best,404),(check,393),(hello,375),(see,307),(experience,251),(hi,235),(thanks,229),(portfolio,212),(message,190),(private,183),(information,181),(give,173),(pm,170),(regardspaulo,165),(time,165),(barbosa,163),(always,158),(creative,157),(skills,157),(client,156),(passionate,156),(budget,155),(details,155),(extremely,155),(respect,154),(aim,150),(frame,149),(project,147),(bid,146),(detailed,123),(photographer/designer,123),(pmb,109),(web,106),(interested,101),(designer,95),(job,82),(professional,81),(experienced,80),(years,79),(ready,74),(freelancer,66),(help,61),(regards,59),(start,55),(portuguese,49),(developer,48),(com,46)],14513,1710,8.48713450292,9.71194459459
Germany,994,[(please,321),(work,240),(project,229),(pm,208),(start,179),(hello,173),(check,171),(hi,162),(details,151),(would,133),(message,127),(quality,122),(private,115),(regards,111),(interested,108),(best,105),(thanks,98),(experience,95),(design,93),(inbox,93),(satisfied,91),(gladly,85),(refer,85),(like,84),(fully,83),(kindly,82),(till,82),(high,80),(professional,78),(d,77),(good,74),(offer,71),(lets,70),(looking,70),(need,68),(samples,68),(see,68),(forward,67),(help,66),(look,66),(immediately,56),(chris,54),(generalist,54),(perfect,54),(m,52),(pmb,52),(job,51),(provide,51),(team,49),(contact,48)],11198,1973,5.67562088191,9.6997375
Turkey,960,[(w,855),(o,565),(development,313),(software,292),(custom,288),(e,288),(l,284),(r,280),(v,280),(design,260),(check,257),(please,197),(hi,191),(motor,140),(pmb,137),(power,134),(control,120),(simulation,114),(pls,103),(work,96),(electronics,94),(pm,90),(project,88),(drive,84),(details,80),(m,79),(see,78),(analog,77),(system,72),(dc,70),(ready,65),(digital,63),(energy,63),(hello,60),(pcb,60),(portfolio,56),(experience,54),(several,48),(university,48),(help,46),(altium,44),(dsp,44),(message,44),(orcad,44),(years,44),(implementation,43),(speed,43),(board,42),(converter,42),(dear,42)],12549,1295,9.69034749035,9.708559375
Malaysia,933,[(please,294),(check,233),(project,212),(work,203),(hi,159),(ready,134),(thanks,134),(details,132),(pm,129),(message,125),(m,105),(pmb,105),(quality,101),(design,98),(experience,84),(start,84),(interested,82),(wordpress,80),(hello,78),(let,77),(inbox,76),(time,71),(job,68),(sir,68),(see,60),(get,58),(make,58),(send,57),(complete,51),(done,50),(video,49),(years,48),(many,46),(portfolio,46),(view,46),(web,46),(website,46),(im,45),(per,44),(high,43),(look,42),(professional,41),(experienced,40),(like,40),(new,40),(projects,40),(give,39),(much,39),(us,39),(requirement,37)],9682,1707,5.6719390744,9.76034516129
Kenya,880,[(ready,235),(work,189),(sir,147),(service,126),(thanks,120),(project,116),(see,111),(please,110),(solutions,104),(toolkit,102),(hi,100),(needs,97),(lets,95),(message,87),(time,87),(deliver,84),(start,82),(working,80),(check,76),(experience,76),(professional,76),(hello,71),(quality,66),(today,63),(details,59),(private,58),(job,56),(skills,56),(articles,52),(programmers,52),(good,51),(hired,49),(looking,48),(pm,46),(writing,44),(pmb,41),(writer,39),(services,38),(us,37),(years,37),(immediately,36),(programming,36),(website,36),(business,34),(high,34),(hire,34),(database,33),(buy,32),(give,32),(kindly,31)],8242,1531,5.38340953625,9.6305974026
United Arab Emirates,847,[(please,379),(check,224),(details,222),(pmb,190),(hi,179),(project,159),(work,148),(quality,139),(development,137),(inbox,136),(see,136),(ready,115),(mobile,114),(designs,112),(based,105),(application,103),(company,99),(web,94),(time,86),(perfect,85),(logovogo,82),(spot,82),(team,79),(thanks,79),(years,72),(developer,71),(thank,69),(start,65),(experience,63),(uae,62),(view,62),(design,60),(read,59),(wordpress,58),(interested,57),(portfolio,57),(message,55),(pm,54),(sir,54),(job,52),(also,51),(deliver,50),(m,50),(projects,50),(d,49),(dear,48),(hello,48),(private,47),(designer,45),(professional,45)],10573,1417,7.46153846154,9.8346673913
Florida,846,[(project,797),(check,723),(would,723),(read,713),(pm,712),(best,694),(guidance,692),(portfolioand,692),(reviews,692),(hijust,691),(experience,84),(years,70),(quality,59),(work,58),(professional,46),(video,41),(also,39),(portfolio,39),(design,38),(working,38),(like,35),(please,33),(business,30),(view,30),(freelancer,29),(frank,28),(hi,28),(m,27),(one,27),(job,26),(projects,26),(thank,26),(several,25),(radio,24),(tv,24),(wordpress,24),(com,23),(done,23),(great,23),(ve,23),(look,22),(may,22),(software,22),(website,22),(creating,21),(every,21),(reliable,21),(based,20),(forward,20),(skilled,20)],12642,1426,8.86535764376,9.26646363636
Mexico,817,[(work,252),(check,235),(details,207),(please,201),(hello,199),(m,178),(hi,172),(ready,170),(see,161),(acute,150),(best,150),(experience,146),(pm,146),(design,141),(project,135),(designer,124),(kindly,117),(graphic,107),(professional,103),(give,97),(help,96),(portfolio,93),(private,88),(results,87),(message,82),(ll,81),(begin,76),(start,76),(also,75),(pmb,75),(would,75),(video,71),(working,71),(years,67),(need,66),(good,62),(services,62),(get,61),(done,59),(thanks,59),(examples,58),(logo,57),(de,55),(past,55),(quality,52),(us,50),(com,49),(fashion,49),(interested,49),(read,48)],12414,1985,6.25390428212,9.795690625
Nigeria,809,[(pmb,187),(project,180),(pls,177),(chk,164),(required,110),(help,107),(escrow,100),(pro,99),(quick,99),(ftp,88),(work,86),(ready,82),(job,80),(pm,80),(interested,76),(start,76),(done,75),(check,67),(thanks,65),(hi,61),(handle,58),(please,57),(details,56),(experience,56),(get,50),(see,47),(let,42),(experienced,36),(kindly,36),(quality,36),(time,33),(contact,32),(years,31),(web,30),(expert,29),(would,29),(lets,28),(well,27),(developer,26),(discuss,25),(hello,25),(high,25),(professional,25),(hope,24),(immediately,24),(seo,23),(writing,23),(m,22),(write,22),(article,21)],5887,1200,4.90583333333,9.67501176471
France,778,[(m,419),(please,392),(want,258),(professional,254),(work,224),(pm,223),(hello,218),(see,216),(message,183),(ready,176),(quality,167),(private,164),(design,145),(check,133),(clients,130),(logo,130),(designer,126),(high,126),(around,121),(artwork,121),(cheap,121),(cheapest,121),(cost,121),(explain,121),(lunch,121),(consult,110),(project,106),(hi,71),(details,65),(done,56),(french,55),(sir,47),(projects,46),(thank,45),(pmb,41),(team,40),(eacute,39),(interested,38),(portfolio,35),(start,35),(experience,34),(expert,34),(experts,33),(help,32),(already,31),(lots,30),(working,29),(good,27),(job,27),(thanks,27)],9570,1555,6.15434083601,9.84648888889
Greece,770,[(check,248),(please,217),(project,163),(experience,150),(hello,128),(work,123),(pm,121),(m,112),(web,106),(details,105),(ready,103),(hi,97),(net,88),(portfolio,84),(years,80),(experienced,75),(start,73),(thanks,71),(job,66),(see,66),(css,62),(done,58),(joomla,58),(website,57),(company,56),(thank,54),(message,53),(sir,53),(sql,53),(developer,52),(design,51),(helloi,51),(adobe,48),(digitalray,48),(kindly,48),(engineer,45),(expert,45),(interested,45),(quality,45),(like,44),(working,44),(provide,43),(wordpress,43),(inbox,42),(pmb,40),(html,39),(php,39),(mysql,38),(time,38),(best,37)],8830,1610,5.48447204969,9.86885211268
Morocco,626,[(see,178),(private,160),(check,133),(hiplease,110),(msgty,109),(pm,109),(ready,106),(please,103),(start,88),(m,81),(hi,76),(sir,66),(work,61),(thanks,58),(details,57),(message,49),(experience,48),(pmb,48),(years,43),(hello,42),(job,42),(project,42),(let,40),(immediately,28),(right,26),(thank,24),(interested,22),(done,19),(time,19),(help,18),(web,18),(********************************************,17),(dear,17),(expert,17),(similar,17),(go,16),(need,16),(php,16),(ll,15),(kindly,14),(lets,14),(development,13),(helloi,13),(like,13),(away,12),(inbox,12),(experienced,11),(plz,11),(regards,11),(site,11)],4027,905,4.44972375691,9.60125681818
Bolivia,611,[(ll,601),(check,515),(need,495),(hi,491),(inbox,478),(portfolio,474),(want,473),(image,470),(information,470),(agency,469),(benefits,469),(brand,469),(branding,469),(communicate,469),(convey,469),(gather,469),(important,469),(purpose,469),(strategy,469),(successfully,469),(thing,469),(translate,469),(understand,469),(vision,469),(design,304),(bid,174),(graphic,174),(files,170),(includes,169),(interface,169),(psd,169),(revisions,169),(unlimited,169),(provide,131),(friendly,129),(unique,129),(user,129),(please,83),(work,55),(experience,40),(pm,37),(good,28),(team,27),(advanced,26),(professional,26),(thanks,24),(help,23),(pmb,23),(quality,23),(high,22)],15442,540,28.5962962963,9.79497777778
Moldova,600,[(please,202),(project,199),(check,195),(ready,181),(hi,168),(details,165),(interested,139),(job,113),(thanks,113),(m,109),(experience,106),(message,101),(work,101),(really,95),(taking,94),(hello,92),(help,86),(pmb,81),(autocad,73),(pm,71),(services,70),(make,67),(company,64),(years,64),(start,54),(+,51),(done,49),(time,48),(quality,47),(developer,42),(see,42),(net,40),(thank,40),(architecture,39),(high,39),(happy,38),(+++,37),(get,36),(hope,36),(soon,36),(efficient,35),(technology,35),(used,35),(website,35),(designers,34),(draw,34),(everything,34),(offer,34),(portfolio,34),(according,33)],6449,654,9.86085626911,9.66714285714
Croatia (Hrvatska),596,[(please,161),(check,153),(hello,152),(pm,148),(work,148),(details,117),(experience,105),(hi,101),(project,91),(m,89),(job,83),(contact,82),(start,73),(years,68),(pls,64),(interested,63),(see,54),(thank,50),(professional,48),(ready,48),(app,47),(sir,46),(best,44),(private,44),(done,41),(thanks,40),(offer,38),(regards,38),(develop,37),(dear,36),(read,36),(message,35),(developer,33),(portfolio,33),(site,33),(want,33),(time,30),(wordpress,30),(make,29),(working,28),(design,27),(pmb,26),(quality,25),(send,25),(would,25),(fast,24),(like,24),(apps,23),(art,22),(designer,22)],6393,1393,4.58937544867,9.81430588235
South Africa,570,[(project,182),(please,177),(work,141),(hi,110),(check,108),(see,95),(message,92),(assist,90),(provide,77),(would,71),(experience,62),(done,61),(pmb,59),(well,59),(time,56),(years,56),(ready,53),(private,45),(good,43),(look,43),(complete,42),(day,41),(detail,41),(like,41),(regards,41),(information,40),(best,38),(portfolio,37),(real,37),(thanks,37),(communication,36),(hello,36),(projects,36),(also,35),(help,35),(love,34),(pay,33),(design,32),(facility,32),(quality,32),(similar,32),(kindly,31),(pm,31),(seo,31),(job,29),(experienced,28),(south,28),(team,28),(details,27),(inbox,27)],7815,1736,4.5017281106,9.61391
Sweden,560,[(work,368),(see,237),(look,234),(forward,227),(would,221),(message,207),(best,206),(new,205),(professional,204),(freelancer,198),(previous,191),(inbox,186),(discuss,185),(industry,185),(works,185),(possible,184),(decide,180),(know,127),(please,122),(project,98),(hi,93),(job,90),(understand,82),(check,79),(details,76),(quality,66),(provide,60),(start,59),(time,58),(bid,56),(experience,53),(development,52),(pm,52),(application,51),(dear,49),(m,48),(pmb,47),(thanks,46),(happy,44),(looking,44),(mobile,44),(set,44),(u,44),(ready,43),(requirements,43),(quick,42),(excellent,41),(gull,41),(manager,41),(norteksol,41)],10226,1385,7.38339350181,9.63648095238
Iran,551,[(please,205),(check,192),(hi,140),(pm,112),(pmb,69),(project,65),(portfolio,63),(details,58),(thanks,58),(work,56),(done,52),(ready,52),(best,51),(hello,50),(review,50),(m,47),(developer,46),(quality,45),(provide,37),(experience,35),(see,35),(help,33),(job,29),(adobe,28),(programmer,28),(start,28),(flash,27),(kindly,27),(actionscript,26),(give,26),(detail,25),(regards,25),(aim,24),(years,24),(ve,22),(private,21),(also,20),(designer,20),(easy,20),(pmbthanks,20),(service,20),(expert,19),(let,19),(message,19),(read,19),(gladly,18),(joomla,18),(similar,18),(want,18),(information,17)],3900,756,5.15873015873,9.82915862069
